data_distribution;tuple_size;bleaching_active;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;
30/30;10;True;60;59;0.9833333333333333;30;30;1;1.0;30;29;0;0.9666666666666667;182020;91475;0.5025546643226019;154316;76771;13000;0.49749215894657717;27704;14704;77545;0.5307536817788046;
30/30;20;False;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;76775;0.42179430831776726;154316;58947;9876;0.3819889058814381;27704;17828;95369;0.6435171816344211;
30/30;20;True;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;79448;0.4364795077464015;154316;62092;10348;0.40236916457139893;27704;17356;92224;0.6264799306959283;
30/30;25;False;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;68286;0.37515657620041754;154316;49067;8485;0.31796443661059126;27704;19219;105249;0.693726537684089;
30/30;25;True;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;70415;0.38685309306669596;154316;51669;8958;0.3348259415744317;27704;18746;102647;0.6766531908749639;
30/30;30;False;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;59063;0.3244863201845951;154316;38079;6720;0.24675989527981546;27704;20984;116237;0.7574357493502744;
30/30;30;True;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;59700;0.32798593561147127;154316;38846;6850;0.25173021592057854;27704;20854;115470;0.7527432861680624;
30/30;50;False;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;33463;0.18384243489726404;154316;6917;1158;0.04482360869903315;27704;26546;147399;0.9582009818076812;
30/30;50;True;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;33463;0.18384243489726404;154316;6917;1158;0.04482360869903315;27704;26546;147399;0.9582009818076812;
30/30;100;False;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;27948;0.15354356664102844;154316;293;49;0.00189870136602815;27704;27655;154023;0.9982313023390125;
30/30;100;True;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;27948;0.15354356664102844;154316;293;49;0.00189870136602815;27704;27655;154023;0.9982313023390125;
50/50;1;False;100;57;0.57;50;7;0;0.14;50;50;43;1.0;181980;36255;0.19922518958127267;154296;10289;1718;0.06668351739513662;27684;25966;144007;0.9379424938592689;
50/50;1;True;100;63;0.63;50;40;27;0.8;50;23;10;0.46;181980;112599;0.6187438180019782;154296;102607;17692;0.6650010369679058;27684;9992;51689;0.360930501372634;
50/50;2;False;100;62;0.62;50;12;0;0.24;50;50;38;1.0;181980;44196;0.24286185295087373;154296;19953;3441;0.1293163789080728;27684;24243;134343;0.8757043779800607;
50/50;2;True;100;72;0.72;50;37;15;0.74;50;35;13;0.7;181980;95862;0.526772172766238;154296;82408;14230;0.534090319904599;27684;13454;71888;0.4859846842941771;
50/50;4;False;100;81;0.81;50;31;0;0.62;50;50;19;1.0;181980;70919;0.38970766018243763;154296;52305;9070;0.3389912894695909;27684;18614;101991;0.672373934402543;
50/50;4;True;100;82;0.82;50;42;10;0.84;50;40;8;0.8;181980;97259;0.5344488405319265;154296;84515;14940;0.5477458910146731;27684;12744;69781;0.46033810143042914;
50/50;5;False;100;88;0.88;50;38;0;0.76;50;50;12;1.0;181980;76485;0.42029343883943293;154296;58994;10193;0.38234302898325295;27684;17491;95302;0.6318089871405866;
50/50;5;True;100;94;0.94;50;47;3;0.94;50;47;3;0.94;181980;91948;0.5052643147598638;154296;77800;13536;0.5042256442163116;27684;14148;76496;0.5110533159947984;
50/50;7;False;100;94;0.94;50;44;0;0.88;50;50;6;1.0;181980;82693;0.45440707770084626;154296;66364;11355;0.43010836314616063;27684;16329;87932;0.5898352839185089;
50/50;7;True;100;93;0.93;50;46;3;0.92;50;47;4;0.94;181980;94116;0.5171777118364655;154296;80260;13828;0.5201690257686524;27684;13856;74036;0.5005057072677359;
50/50;10;False;100;98;0.98;50;48;0;0.96;50;50;2;1.0;181980;84298;0.4632267282118914;154296;68482;11868;0.4438352257997615;27684;15816;85814;0.5713047247507586;
