data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
10/10;30;True;0.00038814544677734375;3.751516342163086e-05;0.002816438674926758;3.673232257804883e-05;6.68994665145874;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;140418;0.7712732066351752;154336;137277;24583;0.8894684325108854;27724;3141;17059;0.11329533977780984;0;0;0;
10/10;50;False;0.0005412101745605469;5.7578086853027344e-05;0.0028057098388671875;4.4235089159687573e-05;8.05720329284668;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;148099;0.8134625947489839;154336;146759;26384;0.950905815882231;27724;1340;7577;0.048333573798874624;0;0;0;
10/10;50;True;0.0003924369812011719;4.680156707763672e-05;0.004474639892578125;4.708373021466593e-05;8.575083017349243;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;148860;0.8176425354278809;154336;147594;26458;0.9563160895708066;27724;1266;6742;0.04566440629057856;0;0;0;
10/10;100;False;0.0006761550903320312;7.18832015991211e-05;0.003850698471069336;4.285759393113086e-05;7.806577682495117;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;153063;0.8407283313193453;154336;152766;27427;0.9898273895915405;27724;297;1570;0.010712739864377435;0;0;0;
10/10;100;True;0.0003910064697265625;4.024505615234375e-05;0.0047321319580078125;4.489073108529358e-05;8.173776149749756;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;150720;0.8278589475996924;154336;149743;26747;0.9702402550279908;27724;977;4593;0.035240225075746645;0;0;0;
100/100;2;False;0.33277058601379395;0.00015892624855041505;0.033380985260009766;0.00035442844547752445;64.46505975723267;200;108;0.54;100;100;92;1.0;100;8;0;0.08;181880;147585;0.8114416098526501;154246;145735;25784;0.944821907861468;27634;1850;8511;0.066946515162481;0;0;0;
100/100;2;True;0.0014758110046386719;3.662943840026855e-05;0.007977724075317383;5.3754984375563776e-05;9.777939319610596;200;115;0.575;100;71;56;0.71;100;44;29;0.44;181880;109667;0.6029634924125797;154246;99578;17545;0.6455791398156192;27634;10089;54668;0.36509372512122745;0;0;0;
100/100;3;False;0.0013463497161865234;2.4176836013793946e-05;0.008514642715454102;2.7233748900541663e-05;4.955335855484009;200;111;0.555;100;100;89;1.0;100;11;0;0.11;181880;143781;0.790526720914889;154246;141426;25279;0.9168860132515592;27634;2355;12820;0.08522110443656365;0;0;0;
100/100;3;True;0.0021371841430664062;3.176331520080566e-05;0.008744955062866211;0.00014505633580073803;26.383289337158203;200;129;0.645;100;77;48;0.77;100;52;23;0.52;181880;103884;0.571167802946998;154246;92293;16043;0.5983493899355575;27634;11591;61953;0.4194470579720634;0;0;0;
100/100;4;False;0.0021696090698242188;3.4538507461547854e-05;0.008919239044189453;3.0115741621092542e-05;5.478492498397827;200;119;0.595;100;100;81;1.0;100;19;0;0.19;181880;141506;0.7780184737189355;154246;138841;24969;0.9001270697457309;27634;2665;15405;0.09643916913946587;0;0;0;
