algorithm;field_size;file_name;number_of_fields;number_of_observations;number_of_observations_smote;tuple_size;number_of_folds;avg_accuracy;list_accuracies
wisard;100;compact_Music_The_Arts_100.pickle;1.07;8847;15024;5;10;0.9129826897470041;[0.8628495339547271, 0.8721704394141145, 0.8754993342210386, 0.8695073235685752, 0.8422103861517976, 0.8728362183754993, 0.9860186418109188, 0.9853528628495339, 0.9793608521970706, 0.9840213049267643];
wisard;100;compact_Music_The_Arts_100.pickle;1.07;8847;15024;6;10;0.9223035952063915;[0.8608521970705726, 0.8808255659121171, 0.8901464713715047, 0.892809587217044, 0.8561917443408789, 0.8894806924101198, 0.9906790945406125, 0.992676431424767, 0.9813581890812251, 0.9880159786950732];
wisard;100;compact_Music_The_Arts_100.pickle;1.07;8847;15024;7;10;0.9287616511318243;[0.8761651131824234, 0.8828229027962716, 0.9001331557922769, 0.892809587217044, 0.8648468708388815, 0.8961384820239681, 0.9980026631158455, 0.992676431424767, 0.9913448735019973, 0.992676431424767];
wisard;100;compact_Music_The_Arts_100.pickle;1.07;8847;15024;8;10;0.9376830892143808;[0.8954727030625832, 0.9054593874833555, 0.90745672436751, 0.9047936085219707, 0.8801597869507324, 0.9061251664447404, 0.992676431424767, 0.9940079893475366, 0.996005326231691, 0.9946737683089214];
wisard;100;compact_Music_The_Arts_100.pickle;1.07;8847;15024;9;10;0.9419440745672436;[0.9007989347536618, 0.9094540612516645, 0.918774966711052, 0.9114513981358189, 0.8861517976031957, 0.9087882822902796, 0.9966711051930759, 0.9980026631158455, 0.9900133155792277, 0.9993342210386151];
wisard;100;compact_Music_The_Arts_100.pickle;1.07;8847;15024;10;10;0.9490679094540614;[0.9041278295605859, 0.9241011984021305, 0.9194407456724367, 0.9181091877496671, 0.9047936085219707, 0.9227696404793608, 0.9980026631158455, 0.9993342210386151, 1.0, 1.0];
wisard;100;compact_Music_The_Arts_100.pickle;1.07;8847;15024;11;10;0.9567909454061251;[0.9181091877496671, 0.9394141145139814, 0.9434087882822902, 0.9267643142476698, 0.9107856191744341, 0.9307589880159787, 0.9993342210386151, 1.0, 0.9993342210386151, 1.0];
wisard;100;compact_Music_The_Arts_100.pickle;1.07;8847;15024;12;10;0.9597869507323569;[0.9214380825565912, 0.9340878828229028, 0.9427430093209055, 0.9374167776298269, 0.9194407456724367, 0.9474034620505992, 0.9980026631158455, 1.0, 0.9980026631158455, 0.9993342210386151];
wisard;100;compact_Music_The_Arts_100.pickle;1.07;8847;15024;13;10;0.9655792276964048;[0.9307589880159787, 0.9474034620505992, 0.9540612516644474, 0.9434087882822902, 0.933422103861518, 0.9487350199733688, 0.9993342210386151, 1.0, 0.9986684420772304, 1.0];
wisard;100;compact_Music_The_Arts_100.pickle;1.07;8847;15024;14;10;0.9691078561917443;[0.940745672436751, 0.952063914780293, 0.9587217043941412, 0.948069241011984, 0.936750998668442, 0.9560585885486018, 1.0, 1.0, 0.9986684420772304, 1.0];
wisard;100;compact_Music_The_Arts_100.pickle;1.07;8847;15024;15;10;0.9713049267643143;[0.9427430093209055, 0.9573901464713716, 0.9653794940079894, 0.9540612516644474, 0.9387483355525965, 0.9560585885486018, 1.0, 1.0, 0.9986684420772304, 1.0];
wisard;100;compact_Music_The_Arts_100.pickle;1.07;8847;15024;16;10;0.9745672436750998;[0.9434087882822902, 0.9620505992010653, 0.9707057256990679, 0.9633821571238349, 0.948069241011984, 0.9600532623169108, 1.0, 1.0, 0.9980026631158455, 1.0];
wisard;100;compact_Music_The_Arts_100.pickle;1.07;8847;15024;17;10;0.9767643142476699;[0.9527296937416777, 0.9640479360852197, 0.9733688415446072, 0.9600532623169108, 0.9560585885486018, 0.9633821571238349, 1.0, 1.0, 0.9980026631158455, 1.0];
