data_distribution;tuple_size;bleaching_active;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
20/20;100;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;27931;0.15343331136014063;154326;264;47;0.0017106644376190662;27714;27667;154062;0.9983041062278992;181574;27648;153926;
20/20;100;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;27931;0.15343331136014063;154326;264;47;0.0017106644376190662;27714;27667;154062;0.9983041062278992;181574;27648;153926;
30/30;1;False;60;37;0.6166666666666667;30;7;0;0.23333333333333334;30;30;23;1.0;182020;51690;0.28397978244148997;154316;29097;5111;0.18855465408642008;27704;22593;125219;0.8155140051978054;147812;22593;125219;
30/30;1;True;60;42;0.7;30;28;16;0.9333333333333333;30;14;2;0.4666666666666667;182020;128644;0.7067574991759147;154316;122391;21451;0.7931193136162161;27704;6253;31925;0.22570747906439503;0;0;0;
30/30;2;False;60;45;0.75;30;15;0;0.5;30;30;15;1.0;182020;79227;0.4352653554554445;154316;61994;10471;0.40173410404624277;27704;17233;92322;0.6220401386081432;95243;14672;80571;
30/30;2;True;60;51;0.85;30;28;7;0.9333333333333333;30;23;2;0.7666666666666667;182020;119265;0.6552301944841227;154316;110739;19178;0.7176119132170352;27704;8526;43577;0.30775339301183946;0;0;0;
30/30;3;False;60;51;0.85;30;21;0;0.7;30;30;9;1.0;182020;99812;0.5483573233710581;154316;87005;14897;0.5638106223593147;27704;12807;67311;0.46227981518914235;65712;10359;55353;
30/30;3;True;60;54;0.9;30;27;3;0.9;30;27;3;0.9;182020;116759;0.6414624766509175;154316;107736;18681;0.6981518442676067;27704;9023;46580;0.3256930407161421;0;0;0;
30/30;4;False;60;53;0.8833333333333333;30;23;0;0.7666666666666667;30;30;7;1.0;182020;94524;0.5193055708163938;154316;80377;13557;0.5208597941885482;27704;14147;73939;0.5106482818365579;55606;8824;46782;
30/30;4;True;60;55;0.9166666666666666;30;28;3;0.9333333333333333;30;27;2;0.9;182020;112935;0.6204537962861224;154316;103058;17827;0.66783742450556;27704;9877;51258;0.3565189142362114;0;0;0;
30/30;5;False;60;56;0.9333333333333333;30;26;0;0.8666666666666667;30;30;4;1.0;182020;89354;0.4909020986704758;154316;74407;12757;0.48217294382954456;27704;14947;79909;0.5395249783424776;44262;6852;37410;
30/30;5;True;60;58;0.9666666666666667;30;29;1;0.9666666666666667;30;29;1;0.9666666666666667;182020;102654;0.5639709921986595;154316;90659;15709;0.5874893076544234;27704;11995;63657;0.43296996823563383;0;0;0;
30/30;6;False;60;58;0.9666666666666667;30;28;0;0.9333333333333333;30;30;2;1.0;182020;92695;0.5092572244808263;154316;78177;13186;0.5066033334197362;27704;14518;76139;0.5240398498411781;37886;5779;32107;
30/30;6;True;60;59;0.9833333333333333;30;30;1;1.0;30;29;0;0.9666666666666667;182020;103881;0.5707120096692672;154316;91717;15540;0.5943453692423339;27704;12164;62599;0.4390701703725094;0;0;0;
30/30;7;False;60;59;0.9833333333333333;30;29;0;0.9666666666666667;30;30;1;1.0;182020;92472;0.5080320843863312;154316;78286;13518;0.5073096762487364;27704;14186;76030;0.5120560207912215;27326;4370;22956;
30/30;7;True;60;59;0.9833333333333333;30;30;1;1.0;30;29;0;0.9666666666666667;182020;99373;0.5459455004944511;154316;86766;15097;0.5622618523030665;27704;12607;67550;0.4550606410626624;0;0;0;
30/30;8;False;60;59;0.9833333333333333;30;29;0;0.9666666666666667;30;30;1;1.0;182020;90488;0.497132183276563;154316;75705;12921;0.4905842556831437;27704;14783;78611;0.533605255558764;31823;4942;26881;
30/30;8;True;60;58;0.9666666666666667;30;29;1;0.9666666666666667;30;29;1;0.9666666666666667;182020;96805;0.5318371607515657;154316;83392;14291;0.540397625651261;27704;13413;70924;0.4841539127923766;1;0;1;
30/30;9;False;60;59;0.9833333333333333;30;29;0;0.9666666666666667;30;30;1;1.0;182020;86825;0.4770080210965828;154316;71580;12459;0.4638533917416211;27704;15245;82736;0.5502815477909327;32218;5010;27208;
30/30;9;True;60;59;0.9833333333333333;30;30;1;1.0;30;29;0;0.9666666666666667;182020;95115;0.5225524667618943;154316;81586;14175;0.5286943674019544;27704;13529;72730;0.4883410337857349;21;5;16;
30/30;10;False;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;86016;0.47256345456543236;154316;70177;11865;0.45476165789678324;27704;15839;84139;0.5717224949465781;31147;4826;26321;
30/30;10;True;60;59;0.9833333333333333;30;30;1;1.0;30;29;0;0.9666666666666667;182020;91475;0.5025546643226019;154316;76771;13000;0.49749215894657717;27704;14704;77545;0.5307536817788046;31;5;26;
30/30;20;False;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;76775;0.42179430831776726;154316;58947;9876;0.3819889058814381;27704;17828;95369;0.6435171816344211;44887;6907;37980;
30/30;20;True;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;79448;0.4364795077464015;154316;62092;10348;0.40236916457139893;27704;17356;92224;0.6264799306959283;16300;2492;13808;
30/30;25;False;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;68286;0.37515657620041754;154316;49067;8485;0.31796443661059126;27704;19219;105249;0.693726537684089;72818;10921;61897;
30/30;25;True;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;70415;0.38685309306669596;154316;51669;8958;0.3348259415744317;27704;18746;102647;0.6766531908749639;62256;9331;52925;
30/30;30;False;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;59063;0.3244863201845951;154316;38079;6720;0.24675989527981546;27704;20984;116237;0.7574357493502744;93059;14025;79034;
30/30;30;True;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;59700;0.32798593561147127;154316;38846;6850;0.25173021592057854;27704;20854;115470;0.7527432861680624;88957;13411;75546;
30/30;50;False;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;33463;0.18384243489726404;154316;6917;1158;0.04482360869903315;27704;26546;147399;0.9582009818076812;166416;25394;141022;
30/30;50;True;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;33463;0.18384243489726404;154316;6917;1158;0.04482360869903315;27704;26546;147399;0.9582009818076812;166416;25394;141022;
30/30;100;False;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;27948;0.15354356664102844;154316;293;49;0.00189870136602815;27704;27655;154023;0.9982313023390125;181478;27627;153851;
30/30;100;True;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;27948;0.15354356664102844;154316;293;49;0.00189870136602815;27704;27655;154023;0.9982313023390125;181478;27627;153851;
50/50;1;False;100;57;0.57;50;7;0;0.14;50;50;43;1.0;181980;36255;0.19922518958127267;154296;10289;1718;0.06668351739513662;27684;25966;144007;0.9379424938592689;167460;25609;141851;
50/50;1;True;100;63;0.63;50;40;27;0.8;50;23;10;0.46;181980;112599;0.6187438180019782;154296;102607;17692;0.6650010369679058;27684;9992;51689;0.360930501372634;0;0;0;
50/50;2;False;100;62;0.62;50;12;0;0.24;50;50;38;1.0;181980;44196;0.24286185295087373;154296;19953;3441;0.1293163789080728;27684;24243;134343;0.8757043779800607;142179;21282;120897;
50/50;2;True;100;72;0.72;50;37;15;0.74;50;35;13;0.7;181980;95862;0.526772172766238;154296;82408;14230;0.534090319904599;27684;13454;71888;0.4859846842941771;0;0;0;
50/50;3;False;100;69;0.69;50;19;0;0.38;50;50;31;1.0;181980;56830;0.3122870645125838;154296;35388;6242;0.22935137657489502;27684;21442;118908;0.77452680248519;124588;18837;105751;
50/50;3;True;100;82;0.82;50;42;10;0.84;50;40;8;0.8;181980;96507;0.5303165182987142;154296;83318;14495;0.5399880748690828;27684;13189;70978;0.4764123681548909;0;0;0;
50/50;4;False;100;81;0.81;50;31;0;0.62;50;50;19;1.0;181980;70919;0.38970766018243763;154296;52305;9070;0.3389912894695909;27684;18614;101991;0.672373934402543;96488;14661;81827;
