data_distribution;tuple_size;bleaching_active;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;
75/75;5;False;150;123;0.82;75;48;0;0.64;75;75;27;1.0;181930;70096;0.3852910460067059;154271;50772;8335;0.32910916504074;27659;19324;103499;0.6986514335297733;
75/75;5;True;150;127;0.8466666666666667;75;65;13;0.8666666666666667;75;62;10;0.8266666666666667;181930;104332;0.5734733139119441;154271;92104;15431;0.5970273090859591;27659;12228;62167;0.4420984128131892;
75/75;7;False;150;131;0.8733333333333333;75;56;0;0.7466666666666667;75;75;19;1.0;181930;70942;0.38994118617050516;154271;51770;8487;0.33557830052310544;27659;19172;102501;0.6931559347771069;
75/75;7;True;150;133;0.8866666666666667;75;68;10;0.9066666666666666;75;65;7;0.8666666666666667;181930;101866;0.5599186500302314;154271;89184;14977;0.5780995780153108;27659;12682;65087;0.4585125998770744;
75/75;10;False;150;132;0.88;75;57;0;0.76;75;75;18;1.0;181930;75119;0.41290056615181664;154271;56681;9221;0.3674118920600761;27659;18438;97590;0.6666184605372573;
75/75;10;True;150;136;0.9066666666666666;75;68;7;0.9066666666666666;75;68;7;0.9066666666666666;181930;103891;0.5710493046776233;154271;91842;15610;0.5953289989693461;27659;12049;62429;0.43562673993998335;
75/75;20;False;150;147;0.98;75;72;0;0.96;75;75;3;1.0;181930;75311;0.41395591711097673;154271;57132;9480;0.3703353190165358;27659;18179;97139;0.6572544198994902;
75/75;20;True;150;145;0.9666666666666667;75;73;3;0.9733333333333334;75;72;2;0.96;181930;99605;0.5474907931622053;154271;86515;14569;0.5607988539647762;27659;13090;67756;0.4732636754763368;
75/75;25;False;150;147;0.98;75;72;0;0.96;75;75;3;1.0;181930;73849;0.4059198592865388;154271;55230;9040;0.35800636542188746;27659;18619;99041;0.6731624426045771;
75/75;25;True;150;149;0.9933333333333333;75;74;0;0.9866666666666667;75;75;1;1.0;181930;93695;0.5150057714505579;154271;79467;13431;0.515113015407951;27659;14228;74804;0.5144076069272208;
75/75;30;False;150;148;0.9866666666666667;75;73;0;0.9733333333333334;75;75;2;1.0;181930;67451;0.3707524872203595;154271;47891;8099;0.31043423585767904;27659;19560;106380;0.707183918435229;
75/75;30;True;150;149;0.9933333333333333;75;74;0;0.9866666666666667;75;75;1;1.0;181930;91833;0.5047710657945363;154271;77527;13353;0.5025377420253969;27659;14306;76744;0.5172276654976681;
75/75;50;False;150;149;0.9933333333333333;75;74;0;0.9866666666666667;75;75;1;1.0;181930;54010;0.2968724234595724;154271;31708;5357;0.20553441670826014;27659;22302;122563;0.8063198235655663;
75/75;50;True;150;150;1.0;75;75;0;1.0;75;75;0;1.0;181930;63220;0.3474962897817842;154271;43128;7567;0.27955999507360424;27659;20092;111143;0.7264181640695614;
75/75;100;False;150;150;1.0;75;75;0;1.0;75;75;0;1.0;181930;28075;0.15431759467927225;154271;487;71;0.003156782545001977;27659;27588;153784;0.9974330236089519;
75/75;100;True;150;150;1.0;75;75;0;1.0;75;75;0;1.0;181930;28075;0.15431759467927225;154271;487;71;0.003156782545001977;27659;27588;153784;0.9974330236089519;
86/14;1;False;100;88;0.88;86;74;0;0.8604651162790697;14;14;12;1.0;181980;122855;0.6751016595230245;154260;116167;21032;0.7530597692207961;27720;6688;38093;0.24126984126984127;
86/14;1;True;100;88;0.88;86;86;12;1.0;14;2;0;0.14285714285714285;181980;153616;0.8441367183206946;154260;153398;27502;0.9944120316349021;27720;218;862;0.007864357864357864;
86/14;2;False;100;90;0.9;86;76;0;0.8837209302325582;14;14;10;1.0;181980;128890;0.7082646444664249;154260;122953;21783;0.7970504343316479;27720;5937;31307;0.2141774891774892;
86/14;2;True;100;90;0.9;86;86;10;1.0;14;4;0;0.2857142857142857;181980;153241;0.8420760523134411;154260;152964;27443;0.9915985997666278;27720;277;1296;0.009992784992784992;
86/14;4;False;100;92;0.92;86;78;0;0.9069767441860465;14;14;8;1.0;181980;128264;0.7048247060116496;154260;122114;21570;0.7916115648904447;27720;6150;32146;0.22186147186147187;
86/14;4;True;100;90;0.9;86;86;10;1.0;14;4;0;0.2857142857142857;181980;152769;0.8394823606989779;154260;152380;27331;0.9878127836120835;27720;389;1880;0.014033189033189033;
86/14;5;False;100;94;0.94;86;80;0;0.9302325581395349;14;14;6;1.0;181980;126271;0.6938729530717661;154260;119762;21211;0.7763645792817322;27720;6509;34498;0.2348124098124098;
86/14;5;True;100;92;0.92;86;86;8;1.0;14;6;0;0.42857142857142855;181980;152130;0.8359709858226179;154260;151608;27198;0.9828082458187476;27720;522;2652;0.01883116883116883;
86/14;7;False;100;99;0.99;86;85;0;0.9883720930232558;14;14;1;1.0;181980;136114;0.7479613144301571;154260;131816;23422;0.854505380526384;27720;4298;22444;0.15505050505050505;
86/14;7;True;100;93;0.93;86;86;7;1.0;14;7;0;0.5;181980;152247;0.836613913616881;154260;151724;27197;0.9835602230001297;27720;523;2536;0.018867243867243866;
86/14;10;False;100;98;0.98;86;84;0;0.9767441860465116;14;14;2;1.0;181980;141619;0.7782118914166392;154260;138590;24691;0.8984182548943342;27720;3029;15670;0.10927128427128427;
86/14;10;True;100;95;0.95;86;86;5;1.0;14;9;0;0.6428571428571429;181980;153024;0.8408836135839103;154260;152727;27423;0.9900622325943212;27720;297;1533;0.010714285714285714;
86/14;20;False;100;99;0.99;86;85;0;0.9883720930232558;14;14;1;1.0;181980;138711;0.7622321134190571;154260;135100;24109;0.8757941138337871;27720;3611;19160;0.13026695526695525;
86/14;20;True;100;100;1.0;86;86;0;1.0;14;14;0;1.0;181980;151686;0.8335311572700297;154260;151028;27062;0.9790483599118371;27720;658;3232;0.023737373737373738;
